#x-axis,1,2
#second,Volt,Volt
-6.63000E-03,+378.14070E-03,+462.31155E-03
-6.62000E-03,+361.80904E-03,+472.36180E-03
-6.61000E-03,+349.24623E-03,+469.84924E-03
-6.60000E-03,+370.60301E-03,+522.61306E-03
-6.59000E-03,+361.80904E-03,+575.37688E-03
-6.58000E-03,+361.80904E-03,+623.11557E-03
-6.57000E-03,+361.80904E-03,+660.80401E-03
-6.56000E-03,+360.55276E-03,+643.21607E-03
-6.55000E-03,+344.22110E-03,+636.93467E-03
-6.54000E-03,+346.73366E-03,+611.80904E-03
-6.53000E-03,+341.70854E-03,+554.02009E-03
-6.52000E-03,+341.70854E-03,+502.51256E-03
-6.51000E-03,+327.88944E-03,+488.69346E-03
-6.50000E-03,+341.70854E-03,+502.51256E-03
-6.49000E-03,+321.60804E-03,+520.10050E-03
-6.48000E-03,+321.60804E-03,+582.91457E-03
-6.47000E-03,+326.63316E-03,+623.11557E-03
-6.46000E-03,+341.70854E-03,+628.14070E-03
-6.45000E-03,+321.60804E-03,+650.75376E-03
-6.44000E-03,+321.60804E-03,+631.90954E-03
-6.43000E-03,+334.17085E-03,+623.11557E-03
-6.42000E-03,+305.27638E-03,+551.50753E-03
-6.41000E-03,+319.09547E-03,+522.61306E-03
-6.40000E-03,+301.50753E-03,+482.41206E-03
-6.39000E-03,+317.83919E-03,+498.74371E-03
-6.38000E-03,+306.53266E-03,+502.51256E-03
-6.37000E-03,+301.50753E-03,+542.71356E-03
-6.36000E-03,+310.30150E-03,+592.96482E-03
-6.35000E-03,+301.50753E-03,+635.67839E-03
-6.34000E-03,+285.17588E-03,+638.19095E-03
-6.33000E-03,+281.40703E-03,+644.47235E-03
-6.32000E-03,+281.40703E-03,+603.01507E-03
-6.31000E-03,+281.40703E-03,+596.73366E-03
-6.30000E-03,+281.40703E-03,+542.71356E-03
-6.29000E-03,+281.40703E-03,+510.05025E-03
-6.28000E-03,+281.40703E-03,+511.30653E-03
-6.27000E-03,+267.58794E-03,+535.17587E-03
-6.26000E-03,+276.38191E-03,+522.61306E-03
-6.25000E-03,+262.56281E-03,+564.07035E-03
-6.24000E-03,+261.30653E-03,+621.85929E-03
-6.23000E-03,+261.30653E-03,+639.44723E-03
-6.22000E-03,+261.30653E-03,+616.83416E-03
-6.21000E-03,+252.51256E-03,+603.01507E-03
-6.20000E-03,+241.20603E-03,+562.81406E-03
-6.19000E-03,+253.76884E-03,+542.71356E-03
-6.18000E-03,+256.28140E-03,+506.28140E-03
-6.17000E-03,+258.79397E-03,+523.86934E-03
-6.16000E-03,+239.94975E-03,+522.61306E-03
-6.15000E-03,+223.61809E-03,+559.04522E-03
-6.14000E-03,+241.20603E-03,+567.83919E-03
-6.13000E-03,+241.20603E-03,+590.45225E-03
-6.12000E-03,+231.15578E-03,+603.01507E-03
-6.11000E-03,+214.82412E-03,+628.14070E-03
-6.10000E-03,+236.18090E-03,+606.78391E-03
-6.09000E-03,+221.10553E-03,+584.17085E-03
-6.08000E-03,+221.10553E-03,+561.55778E-03
-6.07000E-03,+234.92462E-03,+556.53266E-03
-6.06000E-03,+206.03015E-03,+542.71356E-03
-6.05000E-03,+212.31156E-03,+533.91959E-03
-6.04000E-03,+221.10553E-03,+542.71356E-03
-6.03000E-03,+221.10553E-03,+542.71356E-03
-6.02000E-03,+201.00502E-03,+577.88944E-03
-6.01000E-03,+202.26130E-03,+600.50251E-03
-6.00000E-03,+201.00502E-03,+603.01507E-03
-5.99000E-03,+217.33668E-03,+585.42713E-03
-5.98000E-03,+185.92965E-03,+591.70854E-03
-5.97000E-03,+201.00502E-03,+562.81406E-03
-5.96000E-03,+180.90452E-03,+542.71356E-03
-5.95000E-03,+174.62311E-03,+542.71356E-03
-5.94000E-03,+175.87940E-03,+557.78894E-03
-5.93000E-03,+198.49246E-03,+560.30150E-03
-5.92000E-03,+180.90452E-03,+542.71356E-03
-5.91000E-03,+177.13568E-03,+579.14572E-03
-5.90000E-03,+165.82914E-03,+603.01507E-03
-5.89000E-03,+168.34171E-03,+603.01507E-03
-5.88000E-03,+170.85427E-03,+582.91457E-03
-5.87000E-03,+180.90452E-03,+603.01507E-03
-5.86000E-03,+180.90452E-03,+562.81406E-03
-5.85000E-03,+160.80402E-03,+562.81406E-03
-5.84000E-03,+160.80402E-03,+542.71356E-03
-5.83000E-03,+160.80402E-03,+542.71356E-03
-5.82000E-03,+140.70352E-03,+556.53266E-03
-5.81000E-03,+140.70352E-03,+574.12060E-03
-5.80000E-03,+149.49749E-03,+571.60803E-03
-5.79000E-03,+146.98492E-03,+595.47738E-03
-5.78000E-03,+140.70352E-03,+582.91457E-03
-5.77000E-03,+141.95980E-03,+584.17085E-03
-5.76000E-03,+140.70352E-03,+582.91457E-03
-5.75000E-03,+120.60301E-03,+565.32663E-03
-5.74000E-03,+134.42211E-03,+547.73869E-03
-5.73000E-03,+128.14070E-03,+554.02009E-03
-5.72000E-03,+120.60301E-03,+542.71356E-03
-5.71000E-03,+133.16583E-03,+555.27638E-03
-5.70000E-03,+135.67839E-03,+542.71356E-03
-5.69000E-03,+120.60301E-03,+560.30150E-03
-5.68000E-03,+119.34673E-03,+582.91457E-03
-5.67000E-03,+116.83417E-03,+585.42713E-03
-5.66000E-03,+114.32161E-03,+582.91457E-03
-5.65000E-03,+100.50251E-03,+586.68341E-03
-5.64000E-03,+100.50251E-03,+591.70854E-03
-5.63000E-03,+86.68342E-03,+569.09547E-03
-5.62000E-03,+84.17085E-03,+562.81406E-03
-5.61000E-03,+100.50251E-03,+543.96984E-03
-5.60000E-03,+80.40201E-03,+522.61306E-03
-5.59000E-03,+100.50251E-03,+545.22612E-03
-5.58000E-03,+80.40201E-03,+567.83919E-03
-5.57000E-03,+87.93970E-03,+582.91457E-03
-5.56000E-03,+90.45226E-03,+582.91457E-03
-5.55000E-03,+92.96482E-03,+582.91457E-03
-5.54000E-03,+80.40201E-03,+566.58291E-03
-5.53000E-03,+80.40201E-03,+562.81406E-03
-5.52000E-03,+60.30151E-03,+562.81406E-03
-5.51000E-03,+80.40201E-03,+545.22612E-03
-5.50000E-03,+60.30151E-03,+556.53266E-03
-5.49000E-03,+60.30151E-03,+550.25125E-03
-5.48000E-03,+50.25126E-03,+562.81406E-03
-5.47000E-03,+66.58291E-03,+569.09547E-03
-5.46000E-03,+60.30151E-03,+586.68341E-03
